3 : wiRenderer Initialized  S:1679MBV: (1679,7) 
356 : Graphics Card Used: NVIDIA GeForce RTX 3060                                             S:320MB V: (1999,9)     
1113 : SLIDERS INIT                                                                           S:0MB   V: (3903,829)   
1120 : LOAD COMMON ASSETS                                                                     S:0MB   V: (3903,830)   
1129 : LOADING FONTS                                                                          S:0MB   V: (3903,830)   
1137 : initbitmapfont                                                                         S:0MB   V: (3903,830)   
1145 : initbitmapfont - startlegacy image loading                                             S:0MB   V: (3903,833)   
1154 : initbitmapfont - deleting old images                                                   S:8MB   V: (3912,833)   
1162 : initbitmapfont - first font load                                                       S:0MB   V: (3912,833)   
1183 : initbitmapfont - first font shrink                                                     S:0MB   V: (3912,842)   
1193 : initbitmapfont - remaining font loads                                                  S:0MB   V: (3912,843)   
1262 : shrinkbitmapfont - new medium small size text                                          S:2MB   V: (3915,850)   
1271 : initbitmapfont - finish legacy loading                                                 S:0MB   V: (3916,850)   
1279 : INIT VECTORS                                                                           S:0MB   V: (3915,850)   
1288 : INIT EDITOR RESOURCES                                                                  S:0MB   V: (3915,850)   
1296 : IMG: editors\gfx\memorymeter.png,65112,0,0                                             S:0MB   V: (3915,850)   
1328 : IMG: languagebank\english\artwork\testgamelayout-noweapons.png,65137,0,0               S:-9MB  V: (3906,850)   
1338 : LOAD MAIN RESOURCES                                                                    S:0MB   V: (3907,850)   
1347 : UPDATE VISUAL SETTINGS                                                                 S:0MB   V: (3907,850)   
1368 : wiRenderer::SetShadowProps2D: 5                                                        S:223MB V: (4130,850)   
1378 : wiRenderer::SetShadowPropsSpot2D: 2                                                    S:80MB  V: (4211,850)   
1385 : wiRenderer::SetShadowPropsCube: 2                                                      S:3MB   V: (4214,850)   
1395 :                                                                                        S:12MB  V: (4227,850)   
1416 : IMG: languagebank\english\artwork\welcome\welcome-play.png,65167,0,0                   S:0MB   V: (4226,850)   
1432 : IMG: languagebank\english\artwork\welcome-assets\product-example.png,65169,0,0         S:0MB   V: (4226,851)   
1441 : IMG: languagebank\english\artwork\welcome-assets\gameguru-news-banner.png,65174,0,0    S:0MB   V: (4226,851)   
1815 : IMG: editors\uiv3\pointer2.png,43046,0,0                                               S:0MB   V: (4227,851)   
1845 : IMG: editors\uiv3\ABOUT-Country.png,43052,0,0                                          S:0MB   V: (4227,852)   
2065 : IMG: entitybank\_markers\Trigger Zone.bmp,43093,0,0                                    S:1MB   V: (4228,853)   
2073 : IMG: entitybank\_markers\flag.bmp,43094,0,0                                            S:0MB   V: (4228,853)   
3130 : IMG: tutorialbank\welcome-video.jpg,43230,0,0                                          S:39MB  V: (4267,885)   
3842 : preload CCP textures early                                                             S:165MB V: (4433,965)   
3850 : preload FPE character types                                                            S:0MB   V: (4433,965)   
3877 : Guru Map Editor Loop Starts                                                            S:0MB   V: (4433,965)   
3999 : CSteamUserGeneratedWorkshopItem::RefreshItemsList()                                    S:-278MBV: (4155,946)   
5801 : CSteamUserGeneratedWorkshopItem::onWorkshopItemQueried                                 S:5MB   V: (4160,1002)  
5812 : MaxLua Application & Database                                                          S:0MB   V: (4160,1002)  
